metric_id,metric_name,value,unit,scope,building,split,method,aggregation,source_phase,source_file,source_field,canonical_status,used_in_ppt,ppt_slide,notes
BOOTSTRAP_CI95_UPPER,Building-level bootstrap 95% upper bound,-0.0017190447979306138,normalized regret difference,8 fixed buildings resampled by building,ALL_8_FIXED,Test,DOEF minus LightGBM,paired building bootstrap,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.ci95_upper,CANONICAL,YES,21,
PREDICTION_IDENTITY_SAMPLES,Frozen DOEF predictions checked,5760,predictions,8 buildings × 720 Test hours,ALL_8_FIXED,Test,DOEF,identity audit,9.1,outputs/phase9_1/doef_prediction_invariance.json,samples,CANONICAL,YES,22,
PREDICTION_IDENTITY_MAX_DELTA,DOEF prediction identity maximum absolute delta,0.0,kW,8 buildings × 720 Test hours,ALL_8_FIXED,Test,DOEF,maximum,9.1,outputs/phase9_1/doef_prediction_invariance.json,max_absolute_delta,CANONICAL,YES,22,
BATTERY_HOG_OFFICE_ROLANDO_CAPACITY,Frozen battery capacity,732.7774995183972,kWh,building-specific Train-scaled battery,Hog_office_Rolando,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Rolando).capacity,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_ROLANDO_POWER,Frozen charge/discharge power limit,183.1943748795993,kW,building-specific Train-scaled battery,Hog_office_Rolando,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Rolando).max_charge_power,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_LAVON_CAPACITY,Frozen battery capacity,714.0073586890244,kWh,building-specific Train-scaled battery,Hog_office_Lavon,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Lavon).capacity,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_LAVON_POWER,Frozen charge/discharge power limit,178.5018396722561,kW,building-specific Train-scaled battery,Hog_office_Lavon,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Lavon).max_charge_power,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_JOEY_CAPACITY,Frozen battery capacity,2857.763302220491,kWh,building-specific Train-scaled battery,Hog_office_Joey,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Joey).capacity,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_JOEY_POWER,Frozen charge/discharge power limit,714.4408255551227,kW,building-specific Train-scaled battery,Hog_office_Joey,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Joey).max_charge_power,CANONICAL,YES,16,
BATTERY_LAMB_OFFICE_CAITLIN_CAPACITY,Frozen battery capacity,51.58632454268293,kWh,building-specific Train-scaled battery,Lamb_office_Caitlin,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Lamb_office_Caitlin).capacity,CANONICAL,YES,16,
BATTERY_LAMB_OFFICE_CAITLIN_POWER,Frozen charge/discharge power limit,12.896581135670733,kW,building-specific Train-scaled battery,Lamb_office_Caitlin,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Lamb_office_Caitlin).max_charge_power,CANONICAL,YES,16,
BATTERY_ROBIN_OFFICE_ADDIE_CAPACITY,Frozen battery capacity,50.229451326219525,kWh,building-specific Train-scaled battery,Robin_office_Addie,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Robin_office_Addie).capacity,CANONICAL,YES,16,
BATTERY_ROBIN_OFFICE_ADDIE_POWER,Frozen charge/discharge power limit,12.557362831554881,kW,building-specific Train-scaled battery,Robin_office_Addie,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Robin_office_Addie).max_charge_power,CANONICAL,YES,16,
BATTERY_LAMB_OFFICE_GERARDO_CAPACITY,Frozen battery capacity,20.507442268797487,kWh,building-specific Train-scaled battery,Lamb_office_Gerardo,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Lamb_office_Gerardo).capacity,CANONICAL,YES,16,
BATTERY_LAMB_OFFICE_GERARDO_POWER,Frozen charge/discharge power limit,5.126860567199372,kW,building-specific Train-scaled battery,Lamb_office_Gerardo,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Lamb_office_Gerardo).max_charge_power,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_ALEXIS_CAPACITY,Frozen battery capacity,46.45537950915467,kWh,building-specific Train-scaled battery,Hog_office_Alexis,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Alexis).capacity,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_ALEXIS_POWER,Frozen charge/discharge power limit,11.613844877288667,kW,building-specific Train-scaled battery,Hog_office_Alexis,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Alexis).max_charge_power,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_BYRON_CAPACITY,Frozen battery capacity,2286.977311224091,kWh,building-specific Train-scaled battery,Hog_office_Byron,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Byron).capacity,CANONICAL,YES,16,
BATTERY_HOG_OFFICE_BYRON_POWER,Frozen charge/discharge power limit,571.7443278060227,kW,building-specific Train-scaled battery,Hog_office_Byron,all dispatch splits,all forecast methods,per building,7,outputs/phase7/building_battery_configs.csv,row(building=Hog_office_Byron).max_charge_power,CANONICAL,YES,16,
BATTERY_COMMON_CAPACITY_FRACTION_OF_MEAN_DAILY_ENERGY,Capacity fraction of Train mean daily energy,0.1,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,capacity_fraction_of_mean_daily_energy,CANONICAL,YES,16,
BATTERY_COMMON_SOC_MIN_FRACTION,Minimum SOC fraction,0.1,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,soc_min_fraction,CANONICAL,YES,16,
BATTERY_COMMON_SOC_MAX_FRACTION,Maximum SOC fraction,0.9,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,soc_max_fraction,CANONICAL,YES,16,
BATTERY_COMMON_INITIAL_SOC_FRACTION,Initial SOC fraction,0.5,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,initial_soc_fraction,CANONICAL,YES,16,
BATTERY_COMMON_TERMINAL_SOC_FRACTION,Terminal SOC fraction,0.5,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,terminal_soc_fraction,CANONICAL,YES,16,
BATTERY_COMMON_ETA_CHARGE,Charge efficiency,0.9486832980505138,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,eta_charge,CANONICAL,YES,16,
BATTERY_COMMON_ETA_DISCHARGE,Discharge efficiency,0.9486832980505138,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,eta_discharge,CANONICAL,YES,16,
BATTERY_COMMON_ROUND_TRIP_EFFICIENCY,Round-trip efficiency,0.8999999999999999,fraction,common frozen rule across 8 building-specific batteries,ALL_8_FIXED,all dispatch splits,all forecast methods,fixed constraint,7,outputs/phase7/building_battery_configs.csv,round_trip_efficiency,CANONICAL,YES,16,
ROBUST_SELECTED_LAMBDA,Validation-selected robust lambda,0.5,dimensionless,anchor-building Phase 5.7,Hog_office_Rolando,Validation,Robust LightGBM dispatch,selection,5.7,outputs/phase5_7/summary.json,selected_robust_configuration.lambda,CANONICAL,YES,23,
ROBUST_TEST_MEAN_REGRET,LightGBM robust mean Test regret,20.463518670505014,kW,anchor-building Phase 5.7,Hog_office_Rolando,Test,LightGBM robust,mean across 30 days,5.7,outputs/phase5_7/summary.json,test_metrics[method=LightGBM robust].mean_regret,CANONICAL,YES,23,
DETERMINISTIC_TEST_MEAN_REGRET,LightGBM deterministic mean Test regret,11.127371928531804,kW,anchor-building Phase 5.7,Hog_office_Rolando,Test,LightGBM deterministic,mean across 30 days,5.7,outputs/phase5_7/summary.json,test_metrics[method=LightGBM deterministic].mean_regret,CANONICAL,YES,23,
